ITS2 type profile		A1-A1bw-A1bf-A1bx	A1-A1ee	B1-B1a-B1b-B1g	C3f-C3fl-C3-C50a-C3ae-C3fm-C3h-C50q	C3f-C3fl-C50a-C3-C3ae-C3fm-C3h-C3bj	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C1/C3-C1c-C1b-C72k-C1w	C3f/C3-C50a-C3fl-C3ae-C3fm-C50q-C3b	C15-C15ek-C15gy-C15gk-C15el	C3f/C3fl-C3ae-C3-C3bj-C50a-C3h	C42a-C1-C42.2-C1j-C1b-C42as-C42aa	C1/C1b/C3-C1u-C1bo	C3-C3fo-C3a	C42.2-C42aq-C1-C42ar	C21/C3	C3/C1	C42a-C42.2-C1-C1b-C42b-C1au	C42a/C1b/C1-C42.2-C42b	C42g/C42a/C1/C42.2-C42h-C42b-C1b	C1y	C42.2/C1-C42i-C3-C1b-C1au	C3k	C91	C1/C1c-C1b	C15-C15by	C3fn	C1/C42.2/C3-C1b	D1-D4-D6-D1b-D1d-D6c-D4d	D1-D4-D4c-D6-D1d-D2	D1-D4-D4c-D1c-D2	D1/D4/D1d-D6	D4/D1/D1ab-D6
107322	C27	0	0	0	0.7674041656536186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107385	C84	0	0	0	0.7657320099255583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107446	E27	0	0	0	0.7623540579022307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107358	C6	0	0	0	0.758696563285834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107513	E88	0	0	0	0.7545620929105884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107342	C45	0	0	0	0.7506500808208588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107279	C10	0	0	0	0.7490681818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107339	C42	0	0	0	0.7481209578744975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107504	E8	0	0	0	0.7425131402029091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107389	C88	0	0	0	0.7400710364869229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107388	C87	0	0	0	0.736464470262976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107515	E9	0	0	0	0.7337590601675963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107474	E52	0	0	0	0.7328839507583331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107340	C43	0	0	0	0.7288277640485656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107391	C9	0	0	0	0.7175267037761396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107349	C51	0	0	0	0.7136699723166416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11879314574061745	0	0	0	0	0	0	0	0
107463	E42	0	0	0	0.6615240766713417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09474154928146025	0
107321	C26	0	0	0	0.656046875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078828125	0	0	0	0	0	0	0	0	0	0
107477	E55	0	0	0	0	0.8344551659213932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107337	C40	0	0	0	0	0.8307749282473845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107459	E39	0	0	0	0	0.8300671096011916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107507	E82	0	0	0	0	0.8255186944255973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107390	C89	0	0	0	0	0.8209910559111525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107386	C85	0	0	0	0	0.8155539074492488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107462	E41	0	0	0	0	0.8109135593871203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107514	E89	0	0	0	0	0.8103774595579045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107352	C54	0	0	0	0	0.8100296658232266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107503	E79	0	0	0	0	0.807743795695603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107369	C7	0	0	0	0	0.8054745822964806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107353	C55	0	0	0	0	0.8033255666172421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107438	E2	0	0	0	0	0.7995736036525272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107350	C52	0	0	0	0	0.7972079977901961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107381	C80	0	0	0	0	0.7940783574578659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107501	E77	0	0	0	0	0.7843593670239919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013455844818785095
107511	E86	0	0	0	0	0.7815961374609486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107465	E44	0	0	0	0	0.7724601530461253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107383	C82	0	0	0	0	0.7636780839926381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107466	E45	0	0	0	0	0.7596309712021454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107523	E97	0	0	0	0	0.7481436581300196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018639187755720564
107473	E51	0	0	0	0	0.7468799466799967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107475	E53	0	0	0	0	0.7389600864664556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107341	C44	0	0	0	0	0.7249050461204557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107338	C41	0	0	0	0	0.6154775625534447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13997843625683162	0
107441	E22	0	0	0	0	0.5464351095937855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2644846865568255	0	0	0	0
107414	E11	0	0	0	0	0	0.9337843175982619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107290	C11	0	0	0	0	0	0.925800193986421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107518	E92	0	0	0	0	0	0.9240794373189904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
