"2019-09-23";"06:54:45";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-23 06:16:25.121";"2019-09-23";"06:16:25";"F";"2645";"724";"755";"1250";"0.041";"21.5"
"2019-09-23 06:17:06.184";"2019-09-23";"06:17:06";"FO";"2646";"258";"785";"0";"0.671";"0.0"
"2019-09-23 06:17:25.199";"2019-09-23";"06:17:25";"F";"2647";"384";"788";"60";"0.513";"12.9"
"2019-09-23 06:17:45.968";"2019-09-23";"06:17:45";"F";"2648";"372";"777";"85";"0.521";"18.6"
"2019-09-23 06:18:06.984";"2019-09-23";"06:18:06";"F";"2649";"385";"762";"120";"0.495";"24.9"
"2019-09-23 06:18:28.262";"2019-09-23";"06:18:28";"F";"2650";"430";"726";"198";"0.408";"33.9"
"2019-09-23 06:18:49.605";"2019-09-23";"06:18:49";"F";"2651";"452";"678";"295";"0.333";"41.3"
"2019-09-23 06:19:09.778";"2019-09-23";"06:19:09";"F";"2652";"468";"614";"475";"0.238";"47.5"
"2019-09-23 06:19:30.293";"2019-09-23";"06:19:30";"F";"2653";"460";"550";"700";"0.164";"48.2"
"2019-09-23 06:19:50.499";"2019-09-23";"06:19:50";"F";"2654";"443";"485";"1250";"0.087";"45.7"
"2019-09-23 06:20:53.484";"2019-09-23";"06:20:53";"FO";"2655";"484";"1351";"0";"0.642";"0.0"
"2019-09-23 06:21:13.352";"2019-09-23";"06:21:13";"F";"2656";"736";"1334";"60";"0.448";"11.3"
"2019-09-23 06:21:34.701";"2019-09-23";"06:21:34";"F";"2657";"692";"1261";"85";"0.451";"16.1"
"2019-09-23 06:21:54.437";"2019-09-23";"06:21:54";"F";"2658";"709";"1185";"120";"0.402";"20.3"
"2019-09-23 06:22:16.015";"2019-09-23";"06:22:16";"F";"2659";"748";"1086";"198";"0.311";"25.9"
"2019-09-23 06:22:36.517";"2019-09-23";"06:22:36";"F";"2660";"742";"975";"295";"0.239";"29.6"
"2019-09-23 06:22:58.044";"2019-09-23";"06:22:58";"F";"2661";"727";"868";"475";"0.162";"32.3"
"2019-09-23 06:23:18.398";"2019-09-23";"06:23:18";"F";"2662";"692";"770";"700";"0.101";"29.7"
